NAME;EVENT TYPE;COUNTRY;WEBSITE;EVENT DATE;CONTACT PERSON;EMAIL;Kommentar;             Kontaktiert PRO;;
Gauklerfestival;Festival;Attendorn;http://www.gauklerfest.de/;;;info@gauklerfestival.de;;TRUE;TRUE;
"
TNT Festival Terrassa Noves Tendències";Festival;Barcelona;http://tnt.cat/en/;;;tnt@terrassa.cat;;TRUE;TRUE;
Theaterfestival Basel;Festival;Basel;https://www.theaterfestival.ch/deplacement/;;;info@theaterfestival.ch;;TRUE;TRUE;
HOPLA!;Festival;Belgien;https://www.hopla.brussels/;;;02 279 22 11;culture@brucity.be;FALSE;TRUE;
Miramiro Summer Festival;Festival;Belgien;https://miramiro.be/en/festival/circus-cravings/;Juli;"Celine Verkest / 
Steven De Jonge";steven@miramiro.be celine@miramiro.be;;TRUE;TRUE;
namur en mai;Festival;belgien;namurenmai.org;mai;;;;;TRUE;
Zomer Van Antwerpen;Fesrtival;Belgien;https://www.zva.be/2013/nl/programma/circus-zomerbar;;; programma@zva.be;;TRUE;TRUE;
Chassepierre;Festival;Belgium;https://www.chassepierre.be/en;;;online;;TRUE;TRUE;
Festival UP;Festival;Belgium;https://upupup.be/infos-pratiques/;;;info@upupup.be  artistes@upupup.be;;TRUE;TRUE;
La piste aux espoirs;Festival;Belgium;http://www.lapisteauxespoirs.com/;März;;info@lapisteauxespoirs.com;;TRUE;TRUE;
BITEF Festival;Festival;Belgrad;https://festival.bitef.rs/en;september;;Ksenija Đurović, ksenija.djurovic@bitef.rs;;TRUE;TRUE;
Feel Festival ;Festival;Berghaider See;https://feel-festival.de/kultur/;;;kira@feel-festival.de;;TRUE;TRUE;
Berlin lacht;Festival;Berlin;https://berlin-lacht.de;;;ONLINE ;;TRUE;TRUE;
Sounddance Festival;Festival;Berlin;https://opencall.soundance-festival.de/;;;info@soundance-festival.de;;TRUE;TRUE;
Buskers Bern;Festival;Bern;https://www.buskersbern.ch/de;;;info@;;TRUE;TRUE;
TILT;Festival;Birmmingham;https://www.tiltfestival.com;;;online;;TRUE;TRUE;
Artlake;Festival;Brandenburg;https://artlake-festival.de/;;;booking@artlake-festival.de;;TRUE;TRUE;
Theaterformen;Festival;Braunschweig;https://www.theaterformen.de/news;;;welcome@theaterformen.de;ziemlich politisch/aktivist eigerichten;TRUE;TRUE;danke aber nein danke
Brighton Festival;Festival;Brighton;https://brightonfestival.org;;;info@brightonfestival.org;;TRUE;TRUE;
Spettacolo Brunnen;Festival;Brunnen;spettacolo-brunnen.ch/;;;artist@spettacolo-brunnen.ch;;TRUE;TRUE;
Artistic Dance Festival;Festival;Bulgarien;http://antistaticfestival.org/en/;;;info@antistaticfestival.org;;TRUE;TRUE;
Mini Art Festival;Festival;Bulgarien;https://en.miniartfest.com/;June;Geo Kalev / Galina Ryom-Røjbek;miniartfest@gmail.com;;TRUE;TRUE;
Buskers Chur;Festival;Chur;https://buskers-chur.ch/info/;;;info@buskers-chur.ch;;TRUE;TRUE;Fast alles für 23 schon gebucht, aber eventuel noch online formular
Peculiar Families Festival;Festival;croatzien;https://peculiarfamilies.org/en/home/;;Antonia Kuzmanić;peculiarfamilies@gmail.com;;;TRUE;
Copenhagen Circus Festival;Festival;Dänemark;https://www.kittjohnson.dk/english/contact;;; Sarah Garde x-act@kittjohnson.dk;;TRUE;TRUE;
Dynamo Circus Festival;Festival;Dänemark;https://dynamoworkspace.dk/festival/;;;for residencies:  gry@dynamoworkspace.dk   open stage: gry@dynamoworkspace.dk;Residency + Open Stage;TRUE;TRUE;
Passage Festival;Festival;Dänemark;https://passagefestival.nu/en/home/;Juli;;passagefestival@helsingor-teater.dk;;TRUE;TRUE;
Passage Festival;Festival;Dänemark;https://passagefestival.nu/en/home/;;;passagefestival@helsingor-teater.dk;;TRUE;TRUE;
Waves Festival;Fetsival;Dänemark;https://www.wavesfestival.dk/en/;;;Malco Oliveros malco@cantabile2.dk;;TRUE;TRUE;
KLP Festival;Festival;DEutchland;;mai;;info@muetzingenta.de, k.grasnick@gmx.de;send application to both emails;;TRUE;
Brückensensationen Festival ;Festival;Deutschland;https://www.rheinfelden.de/Brueckensensationen;;;kulturamt@rheinfelden-baden.de;;FALSE;TRUE;
Freiart Festival;Festival;Deutschland;https://www.freiartfestival.com;;;info@freiartfestival.com;;TRUE;TRUE;
Hut Festival;Festival;Deutschland;https://www.hutfestival.de/;;Anne Grimm;a.grimm@c3-chemnitz.de;;TRUE;TRUE;
Impulse Festival;Festival;Deutschland;https://www.impulsefestival.de;;;info@impulsefestival.de;;TRUE;TRUE;
Outnow Festival;Festival;Deutschland;https://outnowbremen.de/;;;https://outnowbremen.de/wp-content/uploads/2022/06/OUT23Ausschreibung_Form_DE.pdf;;FALSE;TRUE;
Parksommer Kulturfestival Chemnitz;Festival;Deutschland;https://www.parksommer.de/de/Startseite_10.html?sid=YxJpmLo5b2ckQ3YIq3A2VonaJCWhUfos;;;"Kira Mutze
k.mutze@c3-chemnitz.de";Bewerbungsschluss ist der 18. September 2022;FALSE;TRUE;
Palaisommer Dresden;Festival;Dresden;https://palaissommer.de/;;;polenz@palaissommer.de;;TRUE;TRUE;
Rostfest Eisenerz;Festival;Eisenert;https://rostfest.at/;;;office@rostfest.at;;TRUE;TRUE;
Cirkuliacija Festival;Festival;Estonia;https://cirkuliacija.lt/en/;;;nkgteatronas@gmail.com;;TRUE;TRUE;
Theater Op de Mark;;Festival;https://theateropdemarkt.be/;Okt/ Nov;;theateropdemarkt@limburg.be;;TRUE;TRUE;
Circus Ruska Festival;Festival;Finnland;http://circusruska.com/festival/;;;Info@circusruska.com;;TRUE;TRUE;
Helsinki Festival;Festival;Finnland;https://helsinkifestival.fi/en/contact-information/;;;Marko Ahtisaari marko.ahtisaari@helsinkifestival.fi niko.wilkinson@helsinkifestival.fi;;TRUE;TRUE;
JoJo – Oulu Dance Centre;Festival;Finnland;https://jojo.fi/;application closes 27.11;;Mira Kolanen mira.kolanen(at)jojo.fi;;TRUE;TRUE;
Salo Circus Festival;Festival;Finnland;https://salocircus.com/;;;festival@salocircus.com;;TRUE;TRUE;
Silence Festival;Festival;Finnland;https://www.hiljaisuusfestivaali.fi/about/;;;"Joonas Martikainen
joonas[a]hiljaisuusfestivaali.fi";;TRUE;TRUE;
Sorin Sirkus;;Finnland;https://www.sorinsirkus.fi/yhteystiedot/;;;etunimi.sukunimi@sorinsirkus.fi;;TRUE;TRUE;
Tampere Theatre Festival;Festival;Finnland;https://www.teatterikesa.fi/en/;;;info@teatterikesa.fi;;TRUE;TRUE;
"
Espace Athic / Festival Pisteurs d'Etoiles";Festival;France;https://13esens.com/pisteurs-detoiles/;;;"Laure ROMAN
Adan Sandoval productionathic@gmail.com
direction@espace-athic.com""";;TRUE;TRUE;
"
Festival D'Alba la Roraine";Festival;France;https://lefestivaldalba.org/in-english/;;Manuel Rascalou ;m.rascalou@lacascade.org;;TRUE;TRUE;
"
Festival des 7 Collines";Festival;France;https://festivaldes7collines.com/;;;M. Jean-Philippe MIRANDON  septcollines@hotmail.com;;TRUE;TRUE;
2r2c;Festival;FRance;http://www.2r2c.coop/;September;;01 46 22 10 43 (administration);Mail herausfinden;FALSE;TRUE;
Actoral;Festival;France;http://www.actoral.org/;September-Oktober;;info@actoral.org;;FALSE;TRUE;
Animaijuin - Petit Quevilly;Festival;France;https://www.petit-quevilly.fr/bouger-et-sortir/evenements/animaijuin;;;online;;FALSE;TRUE;
Archaos, pole national cirque;Venue;France;https://www.archaos.fr/fr;;;contact@archaos.fr;;TRUE;TRUE;
Arto;Festival ;France;https://www.festivalramonville-arto.fr/;;;contact.arto@gmail.com;;TRUE;TRUE;
Baraka Circo -passing 65;Ecole de cirque;France;http://www.passing65.fr/contact/;Juni;;cirque@passing65.fr;;FALSE;TRUE;
Bigoud n Jongle;Juggling Convention;France;;;;jongle.et.rit@gmail.com;;TRUE;TRUE;
chalons dans la rue;Festival;France;;;;online;Candidatures : Du 1er décembre 2022 au 10 janvier 2023 inclus;FALSE;TRUE;
CIRCA;Festival;France;http://www.circa.auch.fr;oktober;"Marc FOUILLAND
Camille CHARRU (Produktion und Programmation)";"marc.fouilland@circa.auch.fr
camille.charru@circa.auch.fr";;TRUE;TRUE;
Éclats de rue;Festival;France;https://caen.fr/eclats-de-rue;;;eclatsderue@caen.fr;;;TRUE;
Espace Athic / Festival Pisteurs d'Etoiles;Festival;France;https://www.pisteursdetoiles.com/;Mai;"Laure ROMAN
Adan Sandoval";"productionathic@gmail.com
direction@espace-athic.com";;TRUE;TRUE;
FAB Festival;Festival;France;https://fab.festivalbordeaux.com/;;;contact@festivalbordeaux.com;;TRUE;TRUE;
Festival Artiste de rue;Festival;France;https://www.artistesderue.ch/les-artistes/;;;online;;;TRUE;
Festival D'Alba la Roraine;Festival;France;https://lefestivaldalba.org/in-english/;;Manuel Rascalou;m.rascalou@lacascade.org;;TRUE;TRUE;
Festival des 7 Collines;Festival;France;http://www.festivaldes7collines.com/;Juni;M. Jean-Philippe MIRANDON;septcollines@hotmail.com;;TRUE;TRUE;
festival Hautes Tensions;Festival;France;https://lavillette.com/;;raffaella benanti;r.benanti@villette.com;;TRUE;TRUE;
Festival Hophophop;Festival;France;www.festivalhophophop.com;;;https://www.festivalhophophop.com/contact;;FALSE;TRUE;
Festival L'Avant Curieux - Nantes;Festival de rue;France;http://avantcourrier.fr/a-nantes/festival/;Oktober/ November;;elsa[@]avantcourrier.fr;;FALSE;TRUE;
Festival Marionnette;Festival;France;https://www.festival-marionnette.com/fr/;September;Anne-Françoise Cabanis;zusammen mit Formular an: offderue@mairie-charlevillemezieres.fr;Bis zum 27. Januar: https://festival-marionnette.com/app/uploads/2022/11/appel-a-projet_OFFrue23.pdf;FALSE;TRUE;
Festival PERSPECTIVES;Festival;France;https://www.festival-perspectives.de/perspectives/ueber-das-festival-perspectives;;Martha Kaiser und Célia Galiny;martha.kaiser@festival-perspectives.de celia.galiny@festival-perspectives.de ;;FALSE;TRUE;
Festival Rue des Étoiles;Festival;France;https://www.crabb.fr/spectacles-festival/;;;crabb[at]orange.fr;;TRUE;TRUE;
Festival Spring;Festival;France;https://www.festival-spring.eu/;March;;;online https://www.artcena.fr/actualites/vie-professionnelle/candidatures-presentations-de-projets-spring-2023;FALSE;TRUE;
Festival Théâtrale du Val-d'Oise;Festival;France;http://www.thea-valdoise.org;sept-jeun;Véronique Léculée;dir@thea-valdoise.org;OBJECT Theater;TRUE;TRUE;
Festival Val d'Oise;Festival;France;http://www.cirqueduvaldoise.fr/;;;cap.domont@orange.fr;;TRUE;TRUE;
Mimos;Festival;France;https://www.mimos.fr/contact;july;mime;https://www.mimos.fr/contact;Online, mime festival;FALSE;TRUE;
International Mime Art Festival;Festival;Poland;mimefestival.pl;October;mime;mimefestival@mimowie.pl;;FALSE;TRUE;
Mime Fest;Festival;Czech;mimefest.cz/en/;;Mime;mimefest@gmail.com;;FALSE;TRUE;
GBG Mime Fest;Festival;Sweden;gbgmimefest.se;September 2024;;opencall@gbgmimefest.se;"ASNWERED; SAID TO APPLY ON OPEN CALL ""LATER ON""";FALSE;TRUE;
festival COS Reus;Festival;Spain;www.cosreus.cat;;;festivalcos@reus.cat;;FALSE;TRUE;
Internationales Pantomime Theater Festival;;Germany;https://mimedresden.de/;;;info@mimedresden.de;november;TRUE;TRUE;meldet sich im februar, hat gesagt der ist interesiert
Chapêlmême;Festival;France;https://chapelmele.com/;Mai;;chapelmele@gmail.com;RECONTACTER JANVIER!;FALSE;TRUE;recontacter plus tard en 2023
Mimages;Festival;France;http://www.mimages.fr/;Mars;mime, online;"http://www.mimages.fr/contact/; or info@claireheggen-tdm.com";;FALSE;TRUE;
Festival Gavarnie;Festival;France;www.festival-gavarnie.com;juillet-aout;;contact[@]festival-gavarnie.com;;FALSE;TRUE;
Festival Villeneuve en scene;Festival;France;http://www.festivalvilleneuveenscene.com;juillet;;contact@festivalvilleneuveenscene.com;tout public;FALSE;TRUE;
Cratère Surface;Festival;France;cratere-surfaces.com;juillet;;info@lecratere.fr;street;FALSE;TRUE;
Pringtemps des comédiens;Festival;France;printempsdescomediens.com;juin;;billetterie@printempsdescomediens.com;;FALSE;TRUE;
Festival Rue et Cies;Festival;France;www.ruesetcies.fr;juin;;isabelle.sartori@epinal.fr;street;FALSE;TRUE;
coup de theatre;Festival;France;www.coupdetheatre.org;september;;contact@agitateursdereves.org;;FALSE;TRUE;
MimSueca;Festival;Spain;mimsueca.com;september;mime;mimdireccio@gmail.com;;FALSE;TRUE;
Furie;Festival;France;https://www.furies.fr/Furies-2021.html;;;furieusement[@]furies.fr dt@furies.fr audrey.jehanno@furies.fr audrey.jehanno@lepalc.fr;;TRUE;TRUE;
Jongle o Pais;Juggling Convention;France;;;;contact@laribouldingue.com;;TRUE;TRUE;
Jours [et nuits] de cirque(s);Festival;France;http://joursetnuitsdecirques.fr/;September;Mlle Chloé BERON;chloe.beron@gmail.com;;TRUE;TRUE;
La Cascade - Festival D'Alba;Festival;France;https://lefestivaldalba.org/lequipe/;;;m.rascalou@lacascade.org;;TRUE;TRUE;
Le Champ de Foire;Festival;France;http://www.lechampdefoire.org/nous-contacter/;;;contact@lechampdefoire.org;;TRUE;TRUE;
Le Mans fait son Cirque;Festival;France;https://www.lemansfaitsoncirque.fr/;;;online;kontaktiert espace pro zu erhalten und Bewerbung zu verschicken;FALSE;TRUE;
Les Escal'Pades;Festival;France;http://www.witry-les-reims.fr/agenda_witry-les-reims-160;;;mairie@witry-les-reims.fr 33 3 26 97 02 25;;TRUE;TRUE;
PARIS QUARTIER L’ÉTÉ;Festival de rue;France;https://www.parislete.fr/;;Laurence de Magalhaes et Stéphane Ricordel;stephane.ricordel@lemonfort.fr;;TRUE;TRUE;
Plus Petit Cirque du Monde;Zirkus;France;www.lepluspetitcirquedumonde.fr;;Gaëtan LEVEQUE;gaetan@ppcm.fr;;FALSE;TRUE;
Saperli Puppet;Festival;FRance;http://saperlipuppet.com/;;;festivalsaperlipuppet@orange.fr;OBJECT Theater;TRUE;TRUE;
Sortie de bain;Festival;france;http://www.sortiesdebain.com/;;Online Formular;;;Angefragt! --> richtige Bewerbungsphase noch nicht offen!;TRUE;
"
Festival Belluard";Festival;Fribourg;https://belluard.ch/de;;;Diane Fleury: diane@belluard.ch Gionata Morganti: gionata@belluard.ch ;;TRUE;TRUE;
ATOLL;Festival;Germany;https://www.tollhaus.de/de/214/atoll.html;September;; info@tollhaus.de;;TRUE;TRUE;
Gassenstationen;Festival;Germany;https://gassensensationen.de/kuenstler/;Juli;; info@gassensensationen.de;;TRUE;TRUE;
La Strada;Festival;Germany;https://lastrada-bremen.de/bewerbung;;;application@lastrada-bremen.de;UNBEDEINGT Bewerben;TRUE;TRUE;
Tête à Tête;Festival;Germany;https://www.tete-a-tete.de/de/festival/info/;Juni;;info@tete-a-tete.de;UNBEDEINGT Bewerben;TRUE;TRUE;
Zirkart Festival;Festival;Germany;http://zirkart.de/;september;;info@zirkart.de;;TRUE;TRUE;
ViaThea;Festival;Görlitz;https://viathea.de/kuenstler/;;;viathea@g-h-t.de;;TRUE;TRUE;
Lendwirbel Graz;Festival;Graz;https://www.lendwirbel.at/;;;office@lendwirbel.at ;;TRUE;TRUE;
Steirischer Herbst;Festival;Graz;https://www.steirischerherbst.at/de/;;;info [;;TRUE;TRUE;
Theaterland Steiermark;Festival;graz;https://www.theaterland.at/2021/theaterland-steiermark-2.21/index.html;;Peter Fasshuber;fasshuber@theaterland.at;;TRUE;TRUE;
Athens Circus Festival;Festival;Griechenland;https://www.allaboutfestivals.gr/en/festivals/athens-circus-festival-2-2/;;;circusdayz@gmail.com;;TRUE;TRUE;
Epidaurus Festival;Festival;Griechenland;aefestival.gr/?lang=en;;;artisticdirector@aefestival.gr ;;TRUE;TRUE;
Kalamata Dance Festival;Festival;Griechenland;https://kalamatadancefestival.gr/en/;;;mail@kalamatadancefestival.gr;;TRUE;TRUE;
Noorderzon Festival;Festival;Groningen;https://www.noorderzon.nl/en/;;;info@noorderzon.nl;;TRUE;TRUE;
Larupina;Festival;Hamburg;https://lurupina.de;;;info@lurupina.de;;TRUE;TRUE;
5-3-1 Festival;Festival;Helsinki;http://www.531festival.com/;Oktober;;info@531festival.com;Festival for people, object and circus;FALSE;TRUE;
Tagträummerinen-festival Horn;Festival;Horn;https://tagtraeumerinnen.at/;;;" Holger Schober-Dufek
h.schober-dufek@tagtraeumerinnen.at

Katharina Schober-Dufek k.schober-dufek@tagtraeumerinnen.at";;TRUE;TRUE;
FESTIVAL DES ARTS DE LA RUE A HUY;Festival;Huy;https://1x1soir.be/;;;info@1x1soir.be;;TRUE;TRUE;
National Circus Festival Ireland;Festival;Ireland;https://circusfestival.ie/programme/;Nov;;ONLINE https://circusfestival.ie/contact/;;TRUE;TRUE;
Isny;Festival;Isny;https://theaterfestival-isny.de/;;;info@theaterfestival-isny.de;;TRUE;TRUE;
Festival Mirabilia;Festival;Italien;https://www.festivalmirabilia.it/mirabilia-2021/spettacoli;;;info(at)festivalmirabilia.it;;TRUE;TRUE;
la luna nel pozzo;Festival;italien;lalunanelpozzofestival.it;;;carichisospesi@gmail.com;;;TRUE;
Lonato in festival;Festival;italien;http://www.lonatoinfestival.it;;;direzione@lonatoinfestival.it;;;TRUE;
Lunathica;Festival;Italien;http://lnx.lunathica.it/lun/;;;online application form;;TRUE;TRUE;
mercanti a certaldo;Festival;italien;mercantiacertaldo.it;;;teatro@mercantiacertaldo.it;;;TRUE;
mirabila festival;Festival;italien;festivalmirabilia.it;;;info@festivalmirabilia.it;;;TRUE;
Sul Filo del Circo;Festival;Italien;https://www.sulfilodelcirco.com/;;;info@sulfilodelcirco.com;;TRUE;TRUE;
Tutti matti per Colorno;Festival;italien;https://www.tuttimattipercolorno.it;;;info@tuttimattipercolorno.it;;;TRUE;
valdemone festival;Festival;italien;valdemonefestival.com;;;valdemonefestival@gmail.com;;;TRUE;
Circum Navigando Festival;Festival;Italy;https://www.sarabanda-associazione.it/en/circumnavigando-since-2001-international-festival-of-circus-theatre/;;;info@sarabanda-associazione.it;;TRUE;TRUE;
Composé festival;Festival;Jena;https://www.compose-festival.de/;September;;mail@compose-festival.de;;TRUE;TRUE;
Flaniermeile Klagenfurt;Festival;Klagenfurt;https://www.facebook.com/flaniermeile/;;;info@velden.at;;TRUE;TRUE;
Klagenfurt Festival;Festival;Klagenfurt;https://www.klagenfurtfestival.com/;;;assistenz@klagenfurtfestival.com;;TRUE;TRUE;
Circus Dance Festival;Festival;Köln;https://www.circus-dance-festival.de/;;Malte Garrecht;malte@overhead-project.de;;TRUE;TRUE;
Chuncheon mime Festival;Festival;KOREA!;http://mimefestival.com/;;;;;ich habs versucht aber habe leider nix verstanden!;TRUE;
New Circus Weekend ;Festival;Lativa;https://www.menuspaustuve.lt/lt/?fbclid=IwAR2nfn7RTxrlzSfNuqUyy7SSP49aOUv2zsJfL27TzrCLU4cGGvGdOxJOaa4;;Jolita Balandytė / Ineta Pliekaitytė;jolita@menuspaustuve.lt / ineta@menuspaustuve.lt;;TRUE;TRUE;
euro-scene Leipzig;Festival;Deutschland;https://euro-scene.de/;;;info@euro-scene.de;;TRUE;TRUE;
ReRiga! Criks;Festival;Lettland;https://cirks.lv/en;;;cirks@cirks.lv;;TRUE;TRUE;
Cirkl;Fetival;Leuwen;https://www.cirklcircus.be/en/home;Mai;;info@cirklabo.be;;TRUE;TRUE;
Olala Lienz;Festival;Lienz;http://www.olala.at/ueber-olala/;;Hans Mutschlechner;info@ummigummi.at;;TRUE;TRUE;
Linzer Pflasterspektakel;Festival;Linz;https://pflasterspektakel.at/de/;;;pflasterspektakel@linz.at;;TRUE;TRUE;
Pflasterspektakel Linz;Festival;Linz;https://pflasterspektakel.at/de/;;;pflasterspektakel@linz.at;;TRUE;TRUE;
Ana Desetnica - International Street Art Festival;Festival;Ljubljana;https://www.anamonro.si/en/pillar/ana-desetnica/;;;goro.anamonro@gmail.com;;TRUE;TRUE;
Floating Castle Festival;Festival;Ljubljana;https://www.floatingcastle.si/sl/floating/2021/home;;;kuralt.vesna@gmail.com floatingcastle.programme@gmail.com;;TRUE;TRUE;
Greenwich Docklands;Festival;London;https://festival.org/;;marie (@) festival.org Marie Faucher eleanor (@) festival.org Ellie Harris;marie (@) festival.org Marie Faucher eleanor (@) festival.org Ellie Harris;;TRUE;TRUE;
Maribor Theater Festival;Festival;Maribor;https://www.borstnikovo.si/en/;;;dasa.sprincnik@borstnikovo.si;;TRUE;TRUE;
Theaterfestival Maribor;Festival;Maribor;https://www.visitmaribor.si/de/was-unternehmen/ereignisse-und-veranstaltungen/alle-ereignisse-und-veranstaltungen/5925-;;Same as 277 ;info@borstnikovo.si;;TRUE;TRUE;
Lokomotion;Festival;Mazedonien;https://www.lokomotiva.org.mk/lokomotion-festival/;;;  contact@lokomotiva.org.mk;;TRUE;TRUE;
MLADI LEVI;Fesival;MLADI LEVI;https://www.bunker.si/en/mladi-levi-international-festival/;;; info@bunker.si;;TRUE;TRUE;
Sommerpalast;Festival;Deutschland;https://www.facebook.com/sommerpalast/;;;info@sommerpalast.de;;TRUE;TRUE;
Circo Circolo;Festival;Nederlande;https://www.festivalcircolo.nl/;;;Stephan@festivalcircolo.nl;;TRUE;TRUE;
Boulevard Theaterfestival;Festival;Niederlande;https://www.festivalboulevard.nl/;;;tessa@festivalboulevard.nl;;TRUE;TRUE;
Circus Festival Breda;Festival;Niederlande;https://circusfestivalbreda.nl/;;Maryon Keldermans;info@circusfestivalbreda.nl;;FALSE;TRUE;
Cirque Mania Festival;Festival;Niederlande;https://korzo.nl/en/themes/cirque-mania/;;;info@korzo.nl;;FALSE;TRUE;
Deventer Op Stelten;;Niederlande;https://www.deventeropstelten.nl/;;;pers@eventsdeventer.nl;;TRUE;TRUE;
Oerol;Festival;Niederlande;https://www.holland.com/de/tourist/aktivitaten/veranstaltungen/oerolfestival-8.htm;;;programma@oerol.nl, Wendy Moonen;;TRUE;TRUE;
Reuring;Festival;Niederlande;https://www.reuring.com/;Juli;Adriaan Bruin ;programmering@reuring.com;;TRUE;TRUE;
Spoffin;Festival ;Niederlande;https://spoffin.eu/;August;;festival@spoffin.nl;Does not accept proposals;TRUE;TRUE;
Spoffin Off;;;https://spoffin.eu/artists/off/;;;;Application January 1st;FALSE;TRUE;
Kaskade Festival ;Festival;Niederösterreich;https://www.facebook.com/events/226941424921460/;;;office@urhof20.at;;TRUE;TRUE;
Nitra Festival;Festival;Nitra, Solvakei;https://nitrafest.sk/en/festival-2019/;september;;nitrafest@nitrafest.sk;;TRUE;TRUE;
Non Stop;Festival;Norway;http://www.nonstopfestivalen.com/;;;post@nonstopfestivalen.no;;TRUE;TRUE;
Baredans Bodø Biennale;Biennale;Norwegen;https://www.baredans.no/;;;info.baredans@gmail.com;;TRUE;TRUE;
Bergen International Festival;Festival;Norwegen;https://www.fib.no;;;program@fib.no;;TRUE;TRUE;program for 23 and 24 already full
DanseFestival Barents;Festival;Norwegen;https://www.dansefestivalbarents.no/;;;post@dansefestivalbarents.no;;TRUE;TRUE;
Festspillene Helgeland;Festival;Norwegen;https://www.festspillenehelgeland.no;;;carl.ninian@festspillenehelgeland.no;;TRUE;TRUE;
Molde Dansefestival;Festival;Norwegen;https://www.moldedansefestival.com;;;molde.dansefestival@gmail.com;;TRUE;TRUE;
Multiplié Dansefestival;Festival;Norwegen;http://www.dansit.no/events/multiplie/;;;Nina Therese Aune  nina(at)dansit.no/;arnhild(at)dansit.no;TRUE;TRUE;
Porsgrunn Festival;Festival;Norwegen;https://pitfestival.no/en/;;;post@pitfestival.no;;TRUE;TRUE;
RosenDal Theater;THEATER;Norwegen;https://rosendalteater.no/;;;Nina Bjørklund nina@rosendalteater.no;;TRUE;TRUE;
Showbox Performing Arts Festival;Festival;Norwegen;https://www.showbox.no/;november dec;;"Ådne Sekkelsten: 915 24 645
aadne@scenekunstbruket.no";;TRUE;TRUE;
Stamsund Teaterfestival;Festival;Norwegen;https://stamfest.no/nb/;;;info@stamfest.no;;TRUE;TRUE;
Teaterfestivalen i Fjaler;Festival;Norwegen;https://teaterfestivalenifjaler.no/;;;teaterfestivalenifjaler@gmail.com;;TRUE;TRUE;
Vinterfestuka;Festival;Norwegen;https://www.vinterfestuka.no/;;;Aili Forsenius aili@vinterfestuka.no;;TRUE;TRUE;
;;;;;;;;;;
WUK;Venue;Österreich;https://www.wuk.at/performance-tanz-theater/;;Esther Holland-Merten;esther.holland-merten@wuk.at;;FALSE;FALSE;
Paderborn Messe;Festival;Paderborn;https://www.paderborn.de/microsite/performance/;Kein Festival sondern Messe;;info@performance-paderborn.de;online;FALSE;TRUE;
Les Noctombules;Festival / School / Residency / Training Space;Paris;https://www.les-noctambules.com/fr/accueil.html;;;arenesdenanterre@free.fr;;;FALSE;
Podersdorf;Festival;Podersdorf;Zeitwanderer.at;;;Zeitwanderer Application;;TRUE;TRUE;
Carnaval Sztuk-Mistrzów ;Festival;Polen;https://sztukmistrze.eu/;;"Rafał Sadownik
Iwona Kornet Marta Kuczyńska ";info@sztukmistrze.eu / marta.kuczynska@sztukmistrze.eu ;;TRUE;TRUE;
Cirkulaje ;Festival;Polen;www.sztukmistrze.pl/cyrkulacje?fbclid=IwAR2Zme4eYPTN4B6gNZ_GXA5NUtScw0l7s1V270BQbIgKrS1q68IM21psK2E;;;kontakt@sztukmistrze.pl;noch nicht offen ;TRUE;FALSE;
Malta Festival Poznań;Festival;Polen;https://malta-festival.pl/en;;;office@malta-festival.pl;;TRUE;TRUE;
OFCA Festival;Festival;Polen;https://festiwalofca.pl/en/;;;biuro@festiwalofca.pl;;TRUE;TRUE;
"
Quinzenca de Danca de Almada";Festival;Portugal;https://quinzenadedancadealmada.cdanca-almada.pt/;Sept/Oct;;quinzena@cdanca-almada.pt;;FALSE;TRUE;
Cupula Circus Village;Festival;Portugal;https://apachecirque.wixsite.com/festivalcupula;;;festivalcupula@inac.com.pt;;TRUE;TRUE;
Encontros do devir;Festival;Portugal;https://www.encontrosdodevir.com/;;;;;FALSE;FALSE;
Festival MED;Festival;Portugal;https://www.festivalmed.pt/en/;;;festivalmed@cm-loule.pt;;TRUE;TRUE;
Festival Todos;Festival;Portugal;https://www.festivaltodos.com/festival/;;;"abreuabreu@gmail.com
(Miguel Abreu)";;TRUE;TRUE;
Imaginarius;Festival ;Portugal;https://www.imaginarius.pt/en/;September;;program@imaginarius.pt;;TRUE;TRUE;
INAC;Zirkuszentrum;Portugal;https://www.institutonacionaldeartesdocirco.com/residencias;;;;;FALSE;FALSE;
LEME - Circo contemporâneo - Festival;Festival;Portugal;https://www.23milhas.pt/;nov-dec;;23milhas@cm-ilhavo.pt;;TRUE;TRUE;
Quinta das Relvas;Kunstzentrum;Portugal;https://quintadasrelvas.pt/artists-in-residence/;;;;Alle informationen: https://drive.google.com/file/d/1wGpL243GL5_0JOh4XbQi1-miypoKbaBj/view;FALSE;FALSE;
"quinzenca 
de Danca de Almada";Festival;Portugal;https://quinzenadedancadealmada.cdanca-almada.pt;;;quinzena@cdanca-almada.pt;;FALSE;TRUE;
UP TO YOU - Festival Internazionale della Creazione Contemporanea;Festival;Portugal;http://www.indisciplinarte.it/article/you-festival-internazionale-della-creazione-contemporanea;sieht nicht so gut aus;;info@indisciplinarte.it;;TRUE;FALSE;
Cirkopolis;Festival;Prag;https://www.cirkopolis.cz/;February;Adéla Brabcová;adela@cirqueon.cz;;TRUE;FALSE;
TOHU;Festival;Quebec;https://www.tollhaus.de/de/214/atoll.htmll;November;;;;FALSE;FALSE;
Ruhrfestspiele;Festival;Recklinghausen;https://www.ruhrfestspiele.de/;;;info@ruhrfestspiele.de;;TRUE;TRUE;
